"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Michael Bradley","TOR","2019","M","$6,000,000","$6,500,000","2019-09-13"
"","Michael Bradley","TOR","2019","M","$6,000,000","$6,428,571","2019-06-01"
"","Steven Gerrard","LAG","2015","M","$6,200,004","$6,332,504","2015-07-15"
"","Steven Gerrard","LAG","2015","M","$6,200,004","$6,332,504","2015-09-15"
"","Jozy Altidore","TOR","2019","F","$4,891,250","$6,332,250","2019-06-01"
"","Jozy Altidore","TOR","2019","F","$4,891,250","$6,332,250","2019-09-13"
"","Carlos Vela","LAFC","2019","M","$4,500,000","$6,300,000","2019-06-01"
"","Carlos Vela","LAFC","2019","M","$4,500,000","$6,300,000","2019-09-13"
"","Carlos Vela","LAFC","2020","F","$4,500,000","$6,300,000","2020-12-01"
"","Carlos Vela","LAFC","2021","F","$4,500,000","$6,300,000","2021-04-15"
"","Carlos Vela","LAFC","2021","F","$4,500,000","$6,300,000","2021-09-30"
"","Federico Bernardeschi","TOR","2023","F","$3,125,000","$6,295,381","2023-04-30"
"","Federico Bernardeschi","TOR","2023","M","$3,125,000","$6,295,381","2023-09-15"
"","Carlos Vela","LAFC","2018","F","$4,500,000","$6,292,500","2018-05-01"
"","Carlos Vela","LAFC","2018","F","$4,500,000","$6,292,500","2018-09-15"
"","Federico Bernardeschi","TOR","2022","F","$3,125,000","$6,256,322","2022-09-02"
"","Jermain Defoe","TOR","2014","F","$6,000,000","$6,180,000","2014-04-01"
"","Jermain Defoe","TOR","2014","F","$6,000,000","$6,180,000","2014-09-15"
"","Steven Gerrard","LAG","2016","M","$6,000,000","$6,132,500","2016-05-15"
"","Steven Gerrard","LAG","2016","M","$6,000,000","$6,132,500","2016-09-15"
"","Bastian Schweinsteiger","CHI","2018","M","$6,100,000","$6,100,000","2018-05-01"
"","Bastian Schweinsteiger","CHI","2018","M","$6,100,000","$6,100,000","2018-09-15"
"","Sebastián Driussi","ATX","2023","M","$3,800,000","$6,022,500","2023-04-30"
"","Sebastián Driussi","ATX","2023","M","$3,800,000","$6,022,500","2023-09-15"
"","Frank Lampard","NYC","2015","M","$6,000,000","$6,000,000","2015-07-15"
"","Frank Lampard","NYC","2015","M","$6,000,000","$6,000,000","2015-09-15"
"","Frank Lampard","NYC","2016","M","$6,000,000","$6,000,000","2016-05-15"
"","Frank Lampard","NYC","2016","M","$6,000,000","$6,000,000","2016-09-15"
"","Chicharito","LAG","2020","F","$6,000,000","$6,000,000","2020-12-01"
"","Chicharito","LAG","2021","F","$6,000,000","$6,000,000","2021-04-15"
"","Chicharito","LAG","2021","F","$6,000,000","$6,000,000","2021-09-30"
"","Chicharito","LAG","2022","F","$6,000,000","$6,000,000","2022-04-15"
"","Giovani dos Santos","LAG","2018","F","$4,250,000","$6,000,000","2018-05-01"
"","Giovani dos Santos","LAG","2018","F","$4,250,000","$6,000,000","2018-09-15"
"","Andrea Pirlo","NYC","2016","M","$5,600,000","$5,915,690","2016-05-15"
"","Andrea Pirlo","NYC","2016","M","$5,600,000","$5,915,690","2016-09-15"
"","Andrea Pirlo","NYC","2017","M","$5,600,000","$5,915,690","2017-04-15"
"","Andrea Pirlo","NYC","2017","M","$5,600,000","$5,915,690","2017-09-15"
"","Gonzalo Higuaín","MIA","2021","F","$5,100,000","$5,793,750","2021-04-15"
"","Gonzalo Higuaín","MIA","2021","F","$5,100,000","$5,793,750","2021-09-30"
"","Gonzalo Higuaín","MIA","2022","F","$5,100,000","$5,793,750","2022-04-15"
"","Gonzalo Higuaín","MIA","2022","F","$5,100,000","$5,793,750","2022-09-02"
"","Giovani dos Santos","LAG","2015","M","$4,000,008","$5,750,008","2015-09-15"
"","David Villa","NYC","2015","F","$5,610,000","$5,610,000","2015-07-15"
"","David Villa","NYC","2015","F","$5,610,000","$5,610,000","2015-09-15"
"","David Villa","NYC","2016","F","$5,610,000","$5,610,000","2016-05-15"
"","David Villa","NYC","2016","F","$5,610,000","$5,610,000","2016-09-15"
"","David Villa","NYC","2017","F","$5,610,000","$5,610,000","2017-04-15"
"","David Villa","NYC","2017","F","$5,610,000","$5,610,000","2017-09-15"
"","David Villa","NYC","2018","F","$5,610,000","$5,610,000","2018-05-01"
"","David Villa","NYC","2018","F","$5,610,000","$5,610,000","2018-09-15"
"","Bastian Schweinsteiger","CHI","2019","M","$5,600,000","$5,600,000","2019-06-01"
"","Bastian Schweinsteiger","CHI","2019","M","$5,600,000","$5,600,000","2019-09-13"
"","Giovani dos Santos","LAG","2017","F","$3,750,000","$5,500,000","2017-04-15"
"","Giovani dos Santos","LAG","2017","F","$3,750,000","$5,500,000","2017-09-15"
"","Bastian Schweinsteiger","CHI","2017","M","$5,400,000","$5,400,000","2017-04-15"
"","Bastian Schweinsteiger","CHI","2017","M","$5,400,000","$5,400,000","2017-09-15"
"","Héctor Herrera","HOU","2022","M","$4,750,000","$5,246,875","2022-09-02"
"","Héctor Herrera","HOU","2023","M","$4,750,000","$5,246,875","2023-04-30"
"","Héctor Herrera","HOU","2023","M","$4,750,000","$5,246,875","2023-09-15"
"","Clint Dempsey","SEA","2013","F","$4,913,004","$5,038,567","2013-08-01"
"","Clint Dempsey","SEA","2013","F","$4,913,004","$5,038,567","2013-09-15"
"","Jozy Altidore","TOR","2018","F","$5,000,000","$5,000,000","2018-05-01"
"","Jozy Altidore","TOR","2018","F","$5,000,000","$5,000,000","2018-09-15"
"","Jozy Altidore","TOR","2017","F","$4,875,000","$4,875,000","2017-04-15"
"","Jozy Altidore","TOR","2017","F","$4,875,000","$4,875,000","2017-09-15"
"","Jozy Altidore","TOR","2016","F","$4,825,000","$4,825,000","2016-05-15"
"","Jozy Altidore","TOR","2016","F","$4,825,000","$4,825,000","2016-09-15"
"","Jozy Altidore","TOR","2015","F","$4,750,000","$4,750,000","2015-07-15"
"","Jozy Altidore","TOR","2015","F","$4,750,000","$4,750,000","2015-09-15"
"","Ignacio Piatti","MTL","2018","M","$500,000","$4,713,334","2018-05-01"
"","Ignacio Piatti","MTL","2018","M","$500,000","$4,713,334","2018-09-15"
"","Alejandro Pozuelo","TOR","2020","M","$3,800,000","$4,693,000","2020-12-01"
"","Alejandro Pozuelo","TOR","2021","M","$3,800,000","$4,693,000","2021-04-15"
"","Alejandro Pozuelo","TOR","2021","M","$3,800,000","$4,693,000","2021-09-30"
"","Alejandro Pozuelo","TOR","2022","M","$3,800,000","$4,693,000","2022-04-15"
"","Alejandro Pozuelo","MIA","2022","M","$3,800,000","$4,693,000","2022-09-02"
"","Clint Dempsey","SEA","2015","F","$3,913,008","$4,605,942","2015-07-15"
"","Clint Dempsey","SEA","2015","F","$3,913,008","$4,605,942","2015-09-15"
"","Clint Dempsey","SEA","2016","F","$3,913,008","$4,605,942","2016-05-15"
"","Clint Dempsey","SEA","2016","F","$3,913,008","$4,605,942","2016-09-15"
"","Landon Donovan","LAG","2014","F","$4,250,000","$4,583,334","2014-04-01"
"","Landon Donovan","LAG","2014","F","$4,250,000","$4,583,334","2014-09-15"
"","Douglas Costa","LAG","2022","F","$3,000,000","$4,508,333","2022-09-02"
"","Douglas Costa","LAG","2023","F","$3,000,000","$4,508,333","2023-04-30"
"","Douglas Costa","LAG","2023","M","$3,000,000","$4,508,333","2023-09-15"
"","Robbie Keane","LAG","2014","F","$4,500,000","$4,500,000","2014-04-01"
"","Robbie Keane","LAG","2014","F","$4,500,000","$4,500,000","2014-09-15"
"","Robbie Keane","LAG","2015","F","$4,500,000","$4,500,000","2015-07-15"
"","Robbie Keane","LAG","2015","F","$4,500,000","$4,500,000","2015-09-15"
"","Luiz Araújo","ATL","2023","F","$3,600,000","$4,483,333","2023-04-30"
"","Luiz Araújo","ATL","2022","F","$3,600,000","$4,480,333","2022-09-02"
"","Ignacio Piatti","MTL","2019","M","$530,000","$4,443,334","2019-09-13"
"","Ignacio Piatti","MTL","2019","M","$530,000","$4,443,333","2019-06-01"
"","Christian Benteke","DCU","2023","F","$4,250,000","$4,432,778","2023-04-30"
"","Christian Benteke","DCU","2023","F","$4,250,000","$4,432,778","2023-09-15"
"","Josef Martínez","MIA","2023","F","$4,000,000","$4,391,667","2023-04-30"
"","Josef Martínez","MIA","2023","F","$4,000,000","$4,391,667","2023-09-15"
"","Carlos Vela","LAFC","2023","M","$3,000,000","$4,383,900","2023-09-15"
"","Thierry Henry","NYRB","2013","F","$3,750,000","$4,350,000","2013-05-01"
"","Thierry Henry","NYRB","2013","F","$3,750,000","$4,350,000","2013-08-01"
"","Thierry Henry","NYRB","2013","F","$3,750,000","$4,350,000","2013-09-15"
"","Thierry Henry","NYRB","2014","F","$3,750,000","$4,350,000","2014-04-01"
"","Thierry Henry","NYRB","2014","F","$3,750,000","$4,350,000","2014-09-15"
"","Robbie Keane","LAG","2013","F","$4,000,000","$4,333,334","2013-05-01"
"","Robbie Keane","LAG","2013","F","$4,000,000","$4,333,334","2013-08-01"
"","Robbie Keane","LAG","2013","F","$4,000,000","$4,333,334","2013-09-15"
"","Jozy Altidore","NER","2022","F","$3,706,139","$4,264,963","2022-04-15"
"","Jozy Altidore","NER","2022","F","$3,706,139","$4,264,963","2022-09-02"
"","Giovani dos Santos","LAG","2016","F","$2,500,000","$4,250,000","2016-05-15"
"","Giovani dos Santos","LAG","2016","F","$2,500,000","$4,250,000","2016-09-15"
"","Christian Benteke","DCU","2022","F","$4,000,000","$4,182,778","2022-09-02"
"","Josef Martínez","ATL","2022","F","$3,750,000","$4,141,667","2022-04-15"
"","Josef Martínez","ATL","2022","F","$3,750,000","$4,141,667","2022-09-02"
"","Giovani dos Santos","LAG","2015","M","$4,000,008","$4,100,008","2015-07-15"
"","Carlos Vela","LAFC","2022","F","$2,250,000","$4,050,000","2022-04-15"
"","Luiz Araújo","ATL","2021","F","$3,600,000","$3,941,667","2021-09-30"
"","Luiz Araújo","ATL","2022","F","$3,600,000","$3,941,667","2022-04-15"
"","Clint Dempsey","SEA","2017","F","$3,200,000","$3,892,934","2017-04-15"
"","Clint Dempsey","SEA","2017","F","$3,200,000","$3,892,934","2017-09-15"
"","Josef Martínez","ATL","2021","F","$3,500,000","$3,891,667","2021-04-15"
"","Josef Martínez","ATL","2021","F","$3,500,000","$3,891,667","2021-09-30"
"","Alejandro Pozuelo","TOR","2019","M","$3,800,000","$3,800,000","2019-06-01"
"","Alejandro Pozuelo","TOR","2019","M","$3,800,000","$3,800,000","2019-09-13"
"","Lucas Zelarayán","CLB","2023","M","$3,200,000","$3,800,000","2023-04-30"
"","Lucas Zelarayán","CLB","2022","M","$3,100,000","$3,700,000","2022-04-15"
"","Lucas Zelarayán","CLB","2022","M","$3,100,000","$3,700,000","2022-09-02"
"","Tim Cahill","NYRB","2013","M","$3,500,000","$3,625,000","2013-05-01"
"","Tim Cahill","NYRB","2013","M","$3,500,000","$3,625,000","2013-08-01"
"","Tim Cahill","NYRB","2013","M","$3,500,000","$3,625,000","2013-09-15"
"","Tim Cahill","NYRB","2014","M","$3,500,000","$3,625,000","2014-04-01"
"","Tim Cahill","NYRB","2014","M","$3,500,000","$3,625,000","2014-09-15"
"","Jozy Altidore","TOR","2020","F","$2,161,250","$3,602,250","2020-12-01"
"","Jozy Altidore","TOR","2021","F","$2,161,250","$3,602,250","2021-04-15"
"","Jozy Altidore","TOR","2021","F","$2,161,250","$3,602,250","2021-09-30"
"","Teemu Pukki","MIN","2023","F","$3,200,000","$3,550,000","2023-09-15"
"","Carles Gil","NER","2022","M","$3,250,000","$3,545,833","2022-04-15"
"","Carles Gil","NER","2022","M","$3,250,000","$3,545,833","2022-09-02"
"","Carles Gil","NER","2023","M","$3,250,000","$3,545,833","2023-04-30"
"","Carles Gil","NER","2023","M","$3,250,000","$3,545,833","2023-09-15"
"","Maximiliano Morález","NYC","2020","M","$2,750,000","$3,535,000","2020-12-01"
"","Wayne Rooney","DCU","2019","F","$3,500,000","$3,507,500","2019-06-01"
"","Wayne Rooney","DCU","2019","F","$3,500,000","$3,507,500","2019-09-13"
"","Robbie Keane","LAG","2016","F","$3,500,000","$3,500,000","2016-05-15"
"","Robbie Keane","LAG","2016","F","$3,500,000","$3,500,000","2016-09-15"
"","Rodolfo Pizarro","MIA","2020","M","$3,050,000","$3,350,000","2020-12-01"
"","Rodolfo Pizarro","MIA","2021","M","$3,050,000","$3,350,000","2021-04-15"
"","Rodolfo Pizarro","MIA","2021","M","$3,050,000","$3,350,000","2021-09-30"
"","Rodolfo Pizarro","MIA","2022","M","$3,050,000","$3,350,000","2022-04-15"
"","Rodolfo Pizarro","MIA","2022","M","$3,050,000","$3,350,000","2022-09-02"
"","Rodolfo Pizarro","MIA","2023","M","$3,050,000","$3,350,000","2023-04-30"
"","Carlos Vela","LAFC","2023","F","$3,000,000","$3,337,500","2023-04-30"
"","Josef Martínez","ATL","2020","F","$3,250,000","$3,308,333","2020-12-01"
"","Maximiliano Morález","NYC","2021","M","$2,500,000","$3,285,000","2021-04-15"
"","Maximiliano Morález","NYC","2021","M","$2,500,000","$3,285,000","2021-09-30"
"","Nicolás Lodeiro","SEA","2022","M","$2,640,000","$3,256,667","2022-04-15"
"","Nicolás Lodeiro","SEA","2022","M","$2,640,000","$3,256,667","2022-09-02"
"","Nicolás Lodeiro","SEA","2023","M","$2,640,000","$3,256,667","2023-04-30"
"","Nicolás Lodeiro","SEA","2023","M","$2,640,000","$3,256,667","2023-09-15"
"","Jermaine Jones","NER","2014","M","$3,000,000","$3,252,500","2014-09-15"
"","Franco Jara","FCD","2022","F","$2,540,000","$3,227,000","2022-04-15"
"","Franco Jara","FCD","2022","F","$2,540,000","$3,227,000","2022-09-02"
"","Raúl Ruidíaz","SEA","2022","F","$2,472,000","$3,201,120","2022-04-15"
"","Raúl Ruidíaz","SEA","2022","F","$2,472,000","$3,201,120","2022-09-02"
"","Raúl Ruidíaz","SEA","2023","F","$2,472,000","$3,201,120","2023-04-30"
"","Raúl Ruidíaz","SEA","2023","F","$2,472,000","$3,201,120","2023-09-15"
"","Hany Mukhtar","NSH","2023","M","$2,900,000","$3,188,750","2023-04-30"
"","Hany Mukhtar","NSH","2023","M","$2,900,000","$3,188,750","2023-09-15"
"","Victor Wanyama","MTL","2020","M","$2,416,107","$3,107,774","2020-12-01"
"","Victor Wanyama","MTL","2021","M","$2,400,000","$3,091,667","2021-04-15"
"","Victor Wanyama","MTL","2021","M","$2,400,000","$3,091,667","2021-09-30"
"","Victor Wanyama","MTL","2022","M","$2,400,000","$3,091,667","2022-04-15"
"","Josef Martínez","ATL","2019","F","$3,000,000","$3,058,333","2019-09-13"
"","Josef Martínez","ATL","2019","F","$3,000,000","$3,058,333","2019-06-01"
"","Jermaine Jones","NER","2015","M","$2,800,000","$3,052,500","2015-07-15"
"","Jermaine Jones","NER","2015","M","$2,800,000","$3,052,500","2015-09-15"
"","Carles Gil","NER","2021","M","$2,750,000","$3,045,833","2021-09-30"
"","Douglas Costa","LAG","2022","F","$3,000,000","$3,000,000","2022-04-15"
"","Obafemi Martins","SEA","2015","F","$2,400,000","$3,000,000","2015-07-15"
"","Obafemi Martins","SEA","2015","F","$2,400,000","$3,000,000","2015-09-15"
"","Franco Jara","FCD","2021","F","$2,290,000","$2,977,000","2021-04-15"
"","Franco Jara","FCD","2021","F","$2,290,000","$2,977,000","2021-09-30"
"","Jozy Altidore","NER","2023","F","$2,381,139","$2,939,963","2023-04-30"
"","Sam Surridge","NSH","2023","F","$2,500,000","$2,907,639","2023-09-15"
"","Franco Jara","FCD","2020","F","$2,200,000","$2,887,000","2020-12-01"
"","Cucho Hernández","CLB","2022","F","$2,600,000","$2,886,000","2022-09-02"
"","Cucho Hernández","CLB","2023","F","$2,600,000","$2,886,000","2023-04-30"
"","Cucho Hernández","CLB","2023","F","$2,600,000","$2,886,000","2023-09-15"
"","Sebastián Blanco","POR","2019","M","$2,740,008","$2,853,341","2019-09-13"
"","Jürgen Locadia","CIN","2021","F","$2,500,000","$2,812,500","2021-04-15"
"","Wayne Rooney","DCU","2018","F","$2,769,231","$2,776,731","2018-09-15"
"","Carles Gil","NER","2021","M","$2,250,000","$2,769,667","2021-04-15"
"","Carlos Vela","LAFC","2022","F","$2,400,000","$2,737,500","2022-09-02"
"","Nicolás Lodeiro","SEA","2021","M","$2,120,000","$2,736,667","2021-04-15"
"","Nicolás Lodeiro","SEA","2021","M","$2,120,000","$2,736,667","2021-09-30"
"","Pablo Piatti","TOR","2020","F","$2,400,000","$2,720,000","2020-12-01"
"","Robert Beric","CHI","2020","F","$2,274,996","$2,703,164","2020-12-01"
"","Robert Beric","CHI","2021","F","$2,274,996","$2,703,164","2021-04-15"
"","Robert Beric","CHI","2021","F","$2,274,996","$2,703,164","2021-09-30"
"","Sebastián Driussi","ATX","2021","F","$2,571,420","$2,688,420","2021-09-30"
"","Adrien Hunou","MIN","2022","F","$2,450,000","$2,687,702","2022-04-15"
"","Diego Rossi","CLB","2023","M","$2,625,000","$2,677,000","2023-09-15"
"","Gustavo Bou","NER","2022","M","$2,500,000","$2,675,000","2022-04-15"
"","Gustavo Bou","NER","2022","M","$2,500,000","$2,675,000","2022-09-02"
"","Gustavo Bou","NER","2023","F","$2,500,000","$2,675,000","2023-04-30"
"","Gustavo Bou","NER","2023","F","$2,500,000","$2,675,000","2023-09-15"
"","Nicolás Lodeiro","SEA","2020","M","$2,120,000","$2,622,500","2020-12-01"
"","Carles Gil","NER","2020","M","$2,100,000","$2,619,667","2020-12-01"
"","Diego Valeri","POR","2017","M","$2,227,500","$2,607,500","2017-04-15"
"","Diego Valeri","POR","2017","M","$2,227,500","$2,607,500","2017-09-15"
"","Marco Di Vaio","MTL","2014","F","$1,500,000","$2,600,000","2014-04-01"
"","Marco Di Vaio","MTL","2014","F","$1,500,000","$2,600,000","2014-09-15"
"","Adrien Hunou","MIN","2021","F","$2,350,000","$2,587,702","2021-09-30"
"","Tim Howard","COL","2016","GK","$2,100,000","$2,575,000","2016-05-15"
"","Tim Howard","COL","2016","GK","$2,100,000","$2,575,000","2016-09-15"
"","Ryan Gauld","VAN","2023","M","$2,400,000","$2,505,000","2023-04-30"
"","Ryan Gauld","VAN","2023","M","$2,400,000","$2,505,000","2023-09-15"
"","Nicolás Lodeiro","SEA","2019","M","$2,000,000","$2,502,500","2019-06-01"
"","Nicolás Lodeiro","SEA","2019","M","$2,000,000","$2,502,500","2019-09-13"
"","Landon Donovan","LAG","2013","F","$2,500,000","$2,500,000","2013-05-01"
"","Landon Donovan","LAG","2013","F","$2,500,000","$2,500,000","2013-08-01"
"","Landon Donovan","LAG","2013","F","$2,500,000","$2,500,000","2013-09-15"
"","Nani","ORL","2019","M","$2,333,333","$2,486,250","2019-06-01"
"","Nani","ORL","2020","F","$2,333,333","$2,486,250","2020-12-01"
"","Nani","ORL","2021","F","$2,333,333","$2,486,250","2021-04-15"
"","Nani","ORL","2021","F","$2,333,333","$2,486,250","2021-09-30"
"","Nani","ORL","2019","M","$2,333,333","$2,486,250","2019-09-13"
"","Tim Howard","COL","2017","GK","$2,000,000","$2,475,000","2017-04-15"
"","Tim Howard","COL","2017","GK","$2,000,000","$2,475,000","2017-09-15"
"","Tim Howard","COL","2018","GK","$2,000,000","$2,475,000","2018-05-01"
"","Tim Howard","COL","2018","GK","$2,000,000","$2,475,000","2018-09-15"
"","Tim Howard","COL","2019","GK","$2,000,000","$2,475,000","2019-06-01"
"","Tim Howard","COL","2019","GK","$2,000,000","$2,475,000","2019-09-13"
"","Denis Bouanga","LAFC","2023","M","$2,083,333","$2,472,222","2023-09-15"
"","Diego Valeri","POR","2019","M","$2,320,000","$2,420,000","2019-06-01"
"","Diego Valeri","POR","2019","M","$2,320,000","$2,420,000","2019-09-13"
"","Gareth Bale","LAFC","2022","M","$1,600,000","$2,386,667","2022-09-02"
"","Diego Valeri","POR","2018","M","$2,320,000","$2,380,000","2018-05-01"
"","Diego Valeri","POR","2018","M","$2,320,000","$2,380,000","2018-09-15"
"","Gastón Giménez","CHI","2022","M","$2,060,000","$2,360,667","2022-04-15"
"","Gastón Giménez","CHI","2022","M","$2,060,000","$2,360,667","2022-09-02"
"","Gastón Giménez","CHI","2021","M","$2,058,000","$2,358,667","2021-04-15"
"","Gastón Giménez","CHI","2021","M","$2,058,000","$2,358,667","2021-09-30"
"","Ezequiel Barco","ATL","2021","M","$1,875,000","$2,358,333","2021-09-30"
"","Albert Rusnák","RSL","2021","M","$2,150,000","$2,351,667","2021-04-15"
"","Albert Rusnák","RSL","2021","M","$2,150,000","$2,351,667","2021-09-30"
"","Carlos Salcedo","TOR","2022","D","$2,200,000","$2,351,000","2022-04-15"
"","Walker Zimmerman","NSH","2022","D","$2,088,235","$2,345,214","2022-09-02"
"","Carles Gil","NER","2019","M","$2,100,000","$2,337,500","2019-06-01"
"","Carles Gil","NER","2019","M","$2,100,000","$2,337,500","2019-09-13"
"","Thiago Almada","ATL","2022","M","$1,650,000","$2,332,000","2022-04-15"
"","Thiago Almada","ATL","2022","M","$1,650,000","$2,332,000","2022-09-02"
"","Thiago Almada","ATL","2023","M","$1,650,000","$2,332,000","2023-04-30"
"","Thiago Almada","ATL","2023","M","$1,650,000","$2,332,000","2023-09-15"
"","Sebastián Driussi","ATX","2022","F","$2,200,000","$2,317,000","2022-04-15"
"","Sebastián Driussi","ATX","2022","F","$2,200,000","$2,317,000","2022-09-02"
"","Andrea Pirlo","NYC","2015","M","$2,000,004","$2,315,694","2015-07-15"
"","Andrea Pirlo","NYC","2015","M","$2,000,004","$2,315,694","2015-09-15"
"","Sebastián Blanco","POR","2020","M","$2,200,000","$2,313,333","2020-12-01"
"","Sebastián Blanco","POR","2021","M","$2,200,000","$2,313,333","2021-04-15"
"","Sebastián Blanco","POR","2021","M","$2,200,000","$2,313,333","2021-09-30"
"","Jürgen Locadia","CIN","2020","F","$2,000,000","$2,312,500","2020-12-01"
"","Gyasi Zardes","CLB","2019","F","$2,261,667","$2,311,667","2019-06-01"
"","Nicolás Lodeiro","SEA","2018","M","$1,800,000","$2,302,500","2018-05-01"
"","Nicolás Lodeiro","SEA","2018","M","$1,800,000","$2,302,500","2018-09-15"
"","Miguel Almirón","ATL","2017","M","$1,912,500","$2,297,000","2017-04-15"
"","Miguel Almirón","ATL","2017","M","$1,912,500","$2,297,000","2017-09-15"
"","Miguel Almirón","ATL","2018","M","$1,912,500","$2,297,000","2018-05-01"
"","Miguel Almirón","ATL","2018","M","$1,912,500","$2,297,000","2018-09-15"
"","Emiliano Rigoni","ATX","2022","M","$1,846,152","$2,294,152","2022-09-02"
"","Marco Fabián","PHI","2019","M","$2,000,727","$2,274,087","2019-09-13"
"","Marco Fabián","PHI","2019","M","$2,000,727","$2,274,087","2019-06-01"
"","Ryan Gauld","VAN","2022","M","$2,160,000","$2,265,000","2022-04-15"
"","Ryan Gauld","VAN","2022","M","$2,160,000","$2,265,000","2022-09-02"
"","Karol Swiderski","CLT","2022","F","$2,200,000","$2,258,000","2022-04-15"
"","Karol Swiderski","CLT","2022","F","$2,200,000","$2,258,000","2022-09-02"
"","Karol Swiderski","CLT","2023","F","$2,200,000","$2,258,000","2023-04-30"
"","Karol Swiderski","CLT","2023","F","$2,200,000","$2,258,000","2023-09-15"
"","Evander","POR","2023","M","$1,885,000","$2,230,000","2023-04-30"
"","Evander","POR","2023","M","$1,885,000","$2,230,000","2023-09-15"
"","Jefferson Savarino","RSL","2022","F","$2,000,000","$2,224,292","2022-09-02"
"","Luciano Acosta","CIN","2021","M","$1,943,500","$2,222,854","2021-04-15"
"","Luciano Acosta","CIN","2021","M","$1,943,500","$2,222,854","2021-09-30"
"","Luciano Acosta","CIN","2022","M","$1,943,500","$2,222,854","2022-04-15"
"","Luciano Acosta","CIN","2022","M","$1,943,500","$2,222,854","2022-09-02"
"","Luciano Acosta","CIN","2023","M","$1,943,500","$2,222,854","2023-09-15"
"","Brenner","CIN","2022","F","$1,680,000","$2,218,600","2022-04-15"
"","Brenner","CIN","2022","F","$1,680,000","$2,218,600","2022-09-02"
"","Brenner","CIN","2023","F","$1,680,000","$2,218,600","2023-04-30"
"","Ezequiel Barco","ATL","2022","M","$2,200,000","$2,200,000","2022-04-15"
"","Ezequiel Barco","ATL","2022","M","$2,200,000","$2,200,000","2022-09-02"
"","Ezequiel Barco","ATL","2023","F","$2,200,000","$2,200,000","2023-04-30"
