PLAYER_ID,NAME,SEASON,Base,Total
1,Hany Mukhtar,2022,1637500.00,1926250.00
2,Daniel Gazdag,2022,550000.00,586250.00
3,Luciano Acosta,2022,1943500.00,2222850.00
4,Cristian Arango,2022,624000.00,683000.00
5,Brandon Vázquez,2022,275000.00,517500.00
6,Romell Quioto,2022,800000.00,885000.00
7,Jeremy Ebobisse,2022,620734.00,766617.00
8,Carles Gil,2022,3250000.00,3545830.00
9,Sebastián Driussi,2022,2200000.00,2317000.00
10,Chicharito,2022,6000000.00,7443750.00
11,Diego Rubio,2022,585000.00,629583.00
12,Taty Castellanos,2022,900000.00,1076000.00
13,Carlos Vela,2022,2250000.00,4050000.00
14,Julián Carranza,2022,900000.00,900000.00
15,Jesús Ferreira,2022,1300000.00,1499000.00
16,Brenner,2022,1680000.00,2218600.00
17,Cristian Espinoza,2022,1150000.00,1265000.00
18,Emanuel Reynoso,2022,850000.00,1066910.00
19,Gyasi Zardes,2022,1500000.00,1550000.00
20,Talles Magno,2022,950000.00,1198000.00
21,Lewis Morgan,2022,650000.00,653125.00
22,Santiago Rodríguez,2022,612500.00,612500.00
23,Thiago Almada,2022,1650000.00,2332000.00
24,Gonzalo Higuaín,2022,5100000.00,5793750.00
25,Alejandro Pozuelo,2022,3800000.00,4693000.00
26,Xherdan Shaqiri,2022,7350000.00,8153000.00
27,Carlos Ferreira,2022,1600000.00,1970200.00
28,Luiz Araújo,2022,3600000.00,4480330.00
29,Ryan Gauld,2022,2160000.00,2265000.00
30,Jordan Morris,2022,1250000.00,1370100.00
31,Luis Amarilla,2022,650000.00,785000.00
32,Santiago Moreno,2022,300000.00,344576.00
33,Lucas Zelarayán,2022,3100000.00,3700000.00
34,Paul Arriola,2022,1100000.00,1130000.00
35,Darwin Quintero,2022,600000.00,661250.00
36,Nicolás Lodeiro,2022,2640000.00,3256670.00
37,Karol Swiderski,2022,2200000.00,2258000.00
38,Jesús Jiménez,2022,815000.00,934927.00
39,Johnny Russell,2022,2000000.00,2000000.00
40,Djordje Mihailovic,2022,700000.00,751875.00
41,Sergio Córdova,2022,600000.00,696000.00
42,C.J. Sapong,2022,550000.00,550000.00
43,Patryk Klimala,2022,1000000.00,1135000.00
44,Ercan Kara,2022,1860000.00,1860000.00
45,Dairon Asprilla,2022,350000.00,352500.00
46,Sebastián Blanco,2022,1340000.00,1708000.00
47,Diego Fagundez,2022,450000.00,450000.00
48,Ola Kamara,2022,1500000.00,1520000.00
49,Kwadwo Opoku,2022,92000.00,133095.00
50,Ronaldo Cisneros,2022,244000.00,244000.00
51,Fafa Picault,2022,600000.00,600000.00
52,Maximiliano Morález,2022,670000.00,1300000.00
53,José Cifuentes,2022,367875.00,411750.00
54,Mikael Uhre,2022,1400000.00,1666250.00
55,Michael Barrios,2022,650000.00,680000.00
56,Dániel Sallói,2022,450000.00,506667.00
57,Dejan Joveljic,2022,612500.00,612500.00
58,Leonardo Campana,2022,84000.00,135680.00
59,Jhon Durán,2022,120000.00,167000.00
60,Josef Martínez,2022,3750000.00,4141670.00
61,Derrick Etienne,2022,175000.00,175000.00
62,Robin Lod,2022,849996.00,952496.00
63,Yimmi Chará,2022,1500000.00,1803000.00
64,Facundo Torres,2022,600000.00,953200.00
65,Franco Fragapane,2022,249996.00,257496.00
66,Jaroslaw Niezgoda,2022,807500.00,976758.00
67,Lucas Cavallini,2022,1200000.00,1462500.00
68,Justin Meram,2022,425000.00,468750.00
69,Jonathan Lewis,2022,410000.00,435000.00
70,Jamiro Monteiro,2022,1200000.00,1293500.00
71,Chris Mueller,2022,549996.00,612316.00
72,Taxiarchis Fountas,2022,1600000.00,1646000.00
73,Kei Kamara,2022,84000.00,94000.00
74,Federico Bernardeschi,2022,3125000.00,6256320.00
75,Gustavo Bou,2022,2500000.00,2675000.00
76,Cory Burke,2022,400000.00,450770.00
77,Alan Velasco,2022,1100000.00,1305000.00
78,Jefferson Savarino,2022,2000000.00,2224290.00
79,Cucho Hernández,2022,2600000.00,2886000.00
80,Daniel Ríos,2022,230000.00,251500.00
81,Ariel Lassiter,2022,210000.00,230280.00
82,William Agada,2022,200000.00,246875.00
83,Brooks Lennon,2022,500000.00,500000.00
84,Raúl Ruidíaz,2022,2472000.00,3201120.00
85,Marcelino Moreno,2022,460000.00,568333.00
86,Kacper Przybylko,2022,1100000.00,1212500.00
87,Alexander Ring,2022,1500000.00,1640000.00
88,Kevin Cabral,2022,1650000.00,1650000.00
89,Maximiliano Urruti,2022,625000.00,661250.00
90,Rándall Leal,2022,850000.00,965000.00
